COUNTRY,COURSE_TYPE,COURSE_(SPECIALIZATION),FEES,CURRENCY,FEES_USD
Germany,MBA,MBA in Sales & Marketing ,3678127.31,INR,39003.597620702
Germany,MBA,MBA in Banking,1253594.37,INR,13293.365418354
Germany,MBA,MBA in Business Administration,454540.69,INR,4820.0403848979995
Germany,MBA,MBA in Hospital/Healthcare Management,3246719.22,INR,34428.859952724
Germany,MBA,MBA in Human Resource Management,1217519.71,INR,12910.822508782
Germany,MBA,MBA in Internal Business,1442986.32,INR,15301.715534544
Germany,MBA,MBA in Supply Chain & Logistics Management,1112181.71,INR,11793.797289181999
Germany,MBA,MBA in General Management,1420439.66,INR,15062.626242571998
Germany,MBA,MBA in Global Business Management,1339271.68,INR,14201.904749055999
Germany,MBA,MBA in Entrepreneurship & Leadership Management,1147174.12,INR,12164.863803304
Germany,MBA,MBA in Tourism,1217519.71,INR,12910.822508782
Germany,MBA,MBA in Business Engineer,1316725.02,INR,13962.815457084
Germany,MBA,MBA in Finance,1442986.32,INR,15301.715534544
Germany,MBA,MBA in Accounting,1354964.15,INR,14368.310839429998
Germany,MBA,MBA in Project Management,1112181.71,INR,11793.797289181999
Germany,MBA,MBA in E-Sports Management,1354964.15,INR,14368.310839429998
Germany,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Hotel Management,1226769.15,INR,13008.90542043
Germany,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Marketing,1082894.39,INR,11483.228690437998
Germany,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Event Management,938117.59,INR,9947.986547878
Germany,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Luxury & Brand,1028321.2,INR,10904.52366904
Germany,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Logistics & Supply Chain ,1195197.89,INR,12674.117465137999
Germany,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in International Business ,1082894.39,INR,11483.228690437998
Germany,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Supply Chain Management,1533461.44,INR,16261.131802048
Germany,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Hospital/Healthcare Management,1195197.89,INR,12674.117465137999
Germany,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Real Estate,3047078.08,INR,32311.825375935998
Germany,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Human Resource Management,1195197.89,INR,12674.117465137999
Germany,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Risk Management,755906.29,INR,8015.781480418
Germany,MASTERS OF MANAGEMENT,"MASTERS OF MANAGEMENT in Sports,Leisure & Tourism",986647.13,INR,10462.603495946
Germany,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Eco-Design & Sustainable,1163626.62,INR,12339.329403804
Germany,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Tourism,1195197.89,INR,12674.117465137999
Germany,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Data Analysis,1353054.21,INR,14348.057453681999
Germany,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Digital Marketing,1353054.21,INR,14348.057453681999
Germany,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Fashion Management,2256894.43,INR,23932.559914606
Germany,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Media Management,1172646.98,INR,12434.983105316
Germany,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Psychology Management,516866.71,INR,5480.957966182
